Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
KINGSWAY AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,1,49.264377,-122.779601
KINGSWAY AVE & TYNER ST,PDO,PORT COQUITLAM,2019,2,49.258707,-122.77533
PITT RIVER RD & TYNER ST,PDO,PORT COQUITLAM,2019,3,49.253771,-122.775295
FRASER AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,3,49.269273,-122.775292
PRAIRIE AVE & SHAUGHNESSY ST,PDO,PORT COQUITLAM,2019,2,49.271224,-122.775291
MCLEAN AVE & PITT RIVER RD,PDO,PORT COQUITLAM,2019,4,49.253429,-122.773619
FLINT ST & MANNING AVE,PDO,PORT COQUITLAM,2019,1,49.26832,-122.772898
LANGAN AVE & PITT RIVER RD,PDO,PORT COQUITLAM,2019,1,49.250124,-122.772151
CARMEL AVE & PITT RIVER RD,PDO,PORT COQUITLAM,2019,1,49.236152,-122.771067
LOUGHEED HWY & OXFORD CONN & OXFORD ST & TURNING LANE,PDO,PORT COQUITLAM,2019,34,49.263719,-122.767413
BROWN ST & MCLEAN AVE,PDO,PORT COQUITLAM,2019,1,49.253277,-122.76678
BROADWAY ST & MARY HILL BYPASS & TURNING LANE,PDO,PORT COQUITLAM,2019,79,49.240773,-122.761896
LINCOLN AVE & WELLINGTON ST,PDO,PORT COQUITLAM,2019,2,49.2784,-122.761723
MYRTLE WAY & WELLINGTON ST,PDO,PORT COQUITLAM,2019,1,49.282674,-122.76166
ROBERTSON AVE & ST MICHAEL ST,PDO,PORT COQUITLAM,2019,1,49.262706,-122.761465
CUMBERLAND ST & WESTMINSTER AVE,PDO,PORT COQUITLAM,2019,1,49.265122,-122.760108
COAST MERIDIAN CONN & COAST MERIDIAN OVERPASS & COAST MERIDIAN RD & LOUGHEED HWY & LOUGHEED MERIDIAN RD & ACCESS ROAD & INDUSTRIAL ACCESS ROAD & MALL ACCESS & TURNING LANE,PDO,PORT COQUITLAM,2019,34,49.259848,-122.756931
COAST MERIDIAN RD & LAURIER AVE,PDO,PORT COQUITLAM,2019,2,49.274833,-122.756169
COAST MERIDIAN RD & PATRICIA AVE,PDO,PORT COQUITLAM,2019,2,49.276568,-122.756165
COAST MERIDIAN RD & PRAIRIE AVE,PDO,PORT COQUITLAM,2019,14,49.271192,-122.756124
BEAUMARIS CLOSE & COAST MERIDIAN RD & COQUITLAM AVE,PDO,PORT COQUITLAM,2019,5,49.26743,-122.756119
COAST MERIDIAN RD & GREENMOUNT AVE,PDO,PORT COQUITLAM,2019,2,49.284303,-122.756063
COAST MERIDIAN RD & KINGSWAY AVE,PDO,PORT COQUITLAM,2019,5,49.250047,-122.755963
AMAZON DR & RIVERSIDE DR & RIVERWOOD GATE,PDO,PORT COQUITLAM,2019,1,49.263403,-122.750394
LOUGHEED HWY & OTTAWA ST & TURNING LANE,PDO,PORT COQUITLAM,2019,18,49.255475,-122.747715
MARY HILL BYPASS & TURNING LANE,PDO,PORT COQUITLAM,2019,1,49.246513,-122.747239
DOMINION AVE & OTTAWA ST,PDO,PORT COQUITLAM,2019,8,49.258378,-122.746596
CEDAR DR & LINCOLN AVE,PDO,PORT COQUITLAM,2019,1,49.278487,-122.738761
LOUGHEED HWY & MARY HILL BYPASS & MARY HILL BYPASS OFFRAMP,PDO,PORT COQUITLAM,2019,3,49.250416,-122.735771
FREMONT ST CONN & SHERLING AVE & SHERLING PL,PDO,PORT COQUITLAM,2019,3,49.253452,-122.733949
FREMONT ST & PRAIRIE AVE,PDO,PORT COQUITLAM,2019,1,49.271284,-122.733778
AMAZON ST & RIVERWOOD GATE,Casualty,PORT COQUITLAM,2018,1,49.263948,-122.74701
APEL DR & LYNWOOD AVE,Casualty,PORT COQUITLAM,2018,1,49.284531,-122.75193
APEL DR & SOBALL ST & VICTORIA DR,Casualty,PORT COQUITLAM,2018,1,49.285755,-122.750404
